signature,total_n,overall_failure_rate,repeatability_score,worst_seed_group,worst_seed_failure_rate,best_seed_group,best_seed_failure_rate
LRU | RoundRobin | flag7=True | higher_mem | low_threads,546,0.1575,0.984,8,0.2593,2,0.1042
Adaptive | Static | flag7=True | low_mem | high_threads,340,0.3265,0.912,8,0.6562,1,0.1786
LRU | Dynamic | flag7=False | higher_mem | high_threads,758,0.1042,0.909,8,0.3472,0,0.0256
FIFO | Dynamic | flag7=False | higher_mem | low_threads,673,0.104,0.909,8,0.3425,2,0.0241
Static | RoundRobin | flag7=True | higher_mem | high_threads,415,0.1904,0.908,8,0.5,1,0.0732
LRU | Static | flag7=False | low_mem | low_threads,736,0.0978,0.906,8,0.3457,0,0.0263
FIFO | Dynamic | flag7=True | higher_mem | low_threads,371,0.1779,0.905,8,0.4878,3,0.0789
Adaptive | Static | flag7=False | higher_mem | low_threads,1374,0.0946,0.905,8,0.3435,7,0.0292
Adaptive | Static | flag7=True | higher_mem | high_threads,488,0.2172,0.905,8,0.561,9,0.102
FIFO | Static | flag7=True | low_mem | low_threads,238,0.1597,0.905,8,0.3182,2,0.0
Adaptive | RoundRobin | flag7=False | low_mem | low_threads,784,0.1046,0.902,8,0.3731,5,0.025
LRU | Static | flag7=True | low_mem | high_threads,277,0.3141,0.901,2,0.5714,9,0.1538
FIFO | Dynamic | flag7=False | low_mem | low_threads,433,0.0785,0.899,8,0.303,9,0.0
Static | RoundRobin | flag7=True | low_mem | high_threads,246,0.3537,0.899,8,0.697,9,0.1111
LRU | RoundRobin | flag7=False | low_mem | low_threads,642,0.081,0.899,8,0.303,2,0.0143
Static | Dynamic | flag7=False | higher_mem | high_threads,904,0.0796,0.898,8,0.3093,3,0.0122
LRU | Dynamic | flag7=False | low_mem | high_threads,492,0.2276,0.894,8,0.5571,6,0.0882
LRU | RoundRobin | flag7=False | higher_mem | low_threads,943,0.106,0.892,8,0.3861,1,0.04
Static | RoundRobin | flag7=False | higher_mem | high_threads,761,0.0986,0.891,8,0.3733,2,0.0492
Adaptive | Static | flag7=False | low_mem | low_threads,887,0.1082,0.889,8,0.3905,1,0.0256
LRU | RoundRobin | flag7=False | higher_mem | high_threads,665,0.0872,0.887,8,0.3571,1,0.039
Static | Static | flag7=True | low_mem | high_threads,330,0.3212,0.884,8,0.675,6,0.1613
FIFO | Static | flag7=True | higher_mem | low_threads,350,0.18,0.884,8,0.4839,9,0.0556
Static | Static | flag7=False | low_mem | low_threads,857,0.091,0.883,8,0.3678,9,0.0375
LRU | Static | flag7=False | low_mem | high_threads,479,0.2672,0.883,8,0.6667,0,0.122
Static | Dynamic | flag7=True | low_mem | low_threads,470,0.1894,0.881,8,0.5417,5,0.0667
LRU | Dynamic | flag7=False | higher_mem | low_threads,1117,0.094,0.88,8,0.3761,5,0.032
Static | Static | flag7=False | higher_mem | high_threads,896,0.0915,0.875,8,0.381,2,0.046
Adaptive | Static | flag7=False | higher_mem | high_threads,848,0.0943,0.875,8,0.375,4,0.0135
LRU | Static | flag7=False | higher_mem | low_threads,1180,0.0975,0.871,8,0.3939,3,0.0407
LRU | Dynamic | flag7=True | low_mem | high_threads,249,0.3333,0.871,8,0.7273,9,0.125
Static | Static | flag7=False | higher_mem | low_threads,1369,0.084,0.87,8,0.363,3,0.0294
LRU | RoundRobin | flag7=False | low_mem | high_threads,422,0.237,0.87,8,0.6444,0,0.129
LRU | Dynamic | flag7=False | low_mem | low_threads,741,0.1026,0.869,8,0.4074,5,0.039
Static | RoundRobin | flag7=False | low_mem | low_threads,804,0.092,0.869,8,0.3797,2,0.0127
Static | Dynamic | flag7=False | low_mem | low_threads,928,0.1013,0.868,8,0.4024,2,0.0105
Adaptive | Dynamic | flag7=True | higher_mem | high_threads,503,0.171,0.866,8,0.52,1,0.0426
FIFO | Dynamic | flag7=False | higher_mem | high_threads,470,0.1043,0.862,8,0.4118,2,0.0263
FIFO | RoundRobin | flag7=False | higher_mem | high_threads,390,0.1154,0.859,8,0.4314,1,0.0233
Adaptive | Dynamic | flag7=False | higher_mem | low_threads,1341,0.0701,0.857,8,0.3382,0,0.0062
FIFO | Dynamic | flag7=True | low_mem | low_threads,240,0.1917,0.856,8,0.5556,7,0.0
LRU | RoundRobin | flag7=True | low_mem | low_threads,370,0.1568,0.853,8,0.52,9,0.05
Adaptive | Dynamic | flag7=False | low_mem | low_threads,942,0.0563,0.853,8,0.303,0,0.0
FIFO | RoundRobin | flag7=False | higher_mem | low_threads,608,0.1184,0.85,8,0.4571,3,0.0417
FIFO | Static | flag7=False | higher_mem | low_threads,662,0.0861,0.839,8,0.4,4,0.0104
FIFO | RoundRobin | flag7=True | low_mem | low_threads,213,0.2019,0.82,8,0.625,4,0.0385
FIFO | Static | flag7=False | low_mem | high_threads,282,0.273,0.813,8,0.7857,3,0.0882
FIFO | Static | flag7=False | higher_mem | high_threads,448,0.0848,0.813,8,0.4167,9,0.0233
LRU | Static | flag7=False | higher_mem | high_threads,742,0.097,0.805,8,0.4648,4,0.025
LRU | RoundRobin | flag7=True | higher_mem | high_threads,354,0.2006,0.801,8,0.6957,7,0.0851
FIFO | Static | flag7=False | low_mem | low_threads,430,0.0907,0.777,8,0.4737,1,0.0204
FIFO | Static | flag7=True | higher_mem | high_threads,269,0.2082,0.753,8,0.7692,3,0.0312
Adaptive | Dynamic | flag7=False | higher_mem | high_threads,893,0.0773,0.672,8,0.5116,2,0.0106
